NAICS,Industry,Total,0-4,5-9,10-19,20-49,50-99,100-249,250-499,500-999
533,Lessors of Nonfinancial Intangible Assets (except Copyrighted Works),"2,124",359,403,441,(2),(1),413,0,0
,,,,,,,,,,
,Services,"8,557,683","1,177,689","615,920","960,032","1,485,619","996,113","1,120,005","601,556","462,524"
541,"Professional, Scientific, and Technical Services","1,406,925","175,266","120,100","149,953","220,031","165,735","191,936","117,339","86,538"
551,Management of Companies and Enterprises,"287,917","2,942","4,424","8,295","21,469","24,944","53,013","38,393","32,099"
,,,,,,,,,,
56,Administrative and Support and Waste Management and Remediation Services,"1,089,743","54,133","55,593","74,268","136,856","127,972","201,468","138,491","110,042"
561,Administrative and Support Services,"1,028,910","51,716","52,369","68,172","124,732","115,690","187,627","131,388",(2)
562,Waste Management and Remediation Services,"60,833","2,417","3,224","6,096","12,124","12,282","13,841","7,103",(2)
,,,,,,,,,,
611,Educational Services,"357,995","15,650","20,355","32,809","56,655","44,947","49,812","33,337","22,103"
,,,,,,,,,,
62,Health Care and Social Assistance,"2,809,361","748,549","176,032","223,810","295,823","244,792","329,392","175,018","137,481"
621,Ambulatory Health Care Services,"1,021,098","94,332","128,551","147,319","165,731","114,652","126,816","79,084","55,743"
622,Hospitals,"434,150",377,284,975,"2,226","3,139","12,490","34,167","52,555"
623,Nursing and Residential Care Facilities,"331,829","6,318","14,666","25,691","42,088","66,481","137,659","29,611",(2)
624,Social Assistance,"1,022,284","647,522","32,531","49,825","85,778","60,520","52,427","32,156",(2)
,,,,,,,,,,
71,"Arts, Entertainment, and Recreation","353,847","22,622","18,421","31,939","61,867","51,317","48,635","27,639","19,182"
711,"Performing Arts, Spectator Sports, and Related Industries","97,118","16,051","6,587","6,836","10,793","9,384","9,867","12,305","9,751"
712,"Museums, Historical Sites, and Similar Institutions","21,512",702,998,"1,501","2,201","2,905","3,333","3,778","1,616"
713,"Amusement, Gambling, and Recreation Industries","235,217","5,869","10,836","23,602","48,873","39,028","35,435","11,556","7,815"
,,,,,,,,,,
72,Accommodation and Food Services,"1,675,082","46,029","121,892","333,030","590,179","285,723","187,013","54,378","38,710"
721,Accommodation,"223,313","4,574","7,150","19,831","44,387","29,305","46,556","36,288","25,152"
722,Food Services and Drinking Places,"1,451,769","41,455","114,742","313,199","545,792","256,418","140,457","18,090","13,558"
,,,,,,,,,,
81,Other Services (except Public Administration),"576,813","112,498","99,103","105,928","102,739","50,683","58,736","16,961","16,369"
811,Repair and Maintenance,"159,757","29,632","33,524","38,768","33,817","11,666","8,830",(2),(1)
812,Personal and Laundry Services,"199,104","35,483","41,439","38,944","31,317","15,044","17,169",(2),"4,600"
813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations","181,254","19,679","19,434","25,939","36,355","23,716","32,233","10,285",(2)
814,Private Households,"36,698","27,704","4,706","2,277","1,250",257,504,0,0
92,Public Administration,"2,550,468","15,986","33,269","73,506","304,132","401,971","389,469","234,465","229,947"
,,,,,,,,,,
999,Unclassified,"3,302",889,308,497,451,634,523,0,0
